company_key	company_display	linkedin_company_url	linkedin_people_url	verification_source	verified_on	status
duolingo	Duolingo	https://www.linkedin.com/company/duolingo/	https://www.linkedin.com/company/duolingo/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
ehealthinsurance-services	eHealthInsurance Services	https://www.linkedin.com/company/ehealthinsurance/	https://www.linkedin.com/company/ehealthinsurance/people/	LinkedIn company page matched to ehealth.com	2026-09-09	verified
fanduel	FanDuel	https://www.linkedin.com/company/fanduel/	https://www.linkedin.com/company/fanduel/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
fivetran	Fivetran	https://www.linkedin.com/company/fivetran/	https://www.linkedin.com/company/fivetran/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
fox-corporation	FOX Corporation	https://www.linkedin.com/company/fox-corporation/	https://www.linkedin.com/company/fox-corporation/people/	LinkedIn company page matched to foxcorporation.com	2026-09-09	verified
gusto	Gusto	https://www.linkedin.com/company/gustohq/	https://www.linkedin.com/company/gustohq/people/	LinkedIn company page matched to gusto.com; resolved prior Master slug conflict	2026-09-10	verified
hex-technologies-inc	Hex Technologies Inc.	https://www.linkedin.com/company/hex-technologies/	https://www.linkedin.com/company/hex-technologies/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
hims	Hims	https://www.linkedin.com/company/hims-and-hers/	https://www.linkedin.com/company/hims-and-hers/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
hubspot	HubSpot	https://www.linkedin.com/company/hubspot/	https://www.linkedin.com/company/hubspot/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
imprint	Imprint	https://www.linkedin.com/company/imprint-payments/	https://www.linkedin.com/company/imprint-payments/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
instacart	Instacart	https://www.linkedin.com/company/instacart/	https://www.linkedin.com/company/instacart/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
jump-operations-llc	JUMP OPERATIONS, LLC	https://www.linkedin.com/company/jumptrading/	https://www.linkedin.com/company/jumptrading/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
lyft	Lyft	https://www.linkedin.com/company/lyft/	https://www.linkedin.com/company/lyft/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
mammoth-brands-inc	Mammoth Brands Inc.	https://www.linkedin.com/company/mammoth-brands/	https://www.linkedin.com/company/mammoth-brands/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
openai	OpenAI	https://www.linkedin.com/company/openai/	https://www.linkedin.com/company/openai/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
openloop-health-inc	OpenLoop Health, Inc.	https://www.linkedin.com/company/openloop/	https://www.linkedin.com/company/openloop/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
oscar-health	Oscar Health	https://www.linkedin.com/company/oscar-health/	https://www.linkedin.com/company/oscar-health/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
patlytics-inc	Patlytics, Inc	https://www.linkedin.com/company/patlytics/	https://www.linkedin.com/company/patlytics/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
permitflow-inc	PermitFlow Inc.	https://www.linkedin.com/company/permitflow/	https://www.linkedin.com/company/permitflow/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
plaid-inc	Plaid, Inc.	https://www.linkedin.com/company/plaid/	https://www.linkedin.com/company/plaid/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
point72	Point72	https://www.linkedin.com/company/point72-asset-management-l-p-/	https://www.linkedin.com/company/point72-asset-management-l-p-/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
progyny-inc	Progyny, Inc.	https://www.linkedin.com/company/progyny/	https://www.linkedin.com/company/progyny/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
quantiphi	Quantiphi	https://www.linkedin.com/company/quantiphi/	https://www.linkedin.com/company/quantiphi/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
qventus-inc	Qventus Inc.	https://www.linkedin.com/company/qventus/	https://www.linkedin.com/company/qventus/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
robinhood	Robinhood	https://www.linkedin.com/company/robinhood/	https://www.linkedin.com/company/robinhood/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
seatgeek	SeatGeek	https://www.linkedin.com/company/seatgeek/	https://www.linkedin.com/company/seatgeek/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
sony-interactive-entertainment	SONY INTERACTIVE ENTERTAINMENT	https://www.linkedin.com/company/playstation/	https://www.linkedin.com/company/playstation/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
spade	Spade	https://www.linkedin.com/company/spade/	https://www.linkedin.com/company/spade/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
state-street	State Street	https://www.linkedin.com/company/state-street/	https://www.linkedin.com/company/state-street/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
stord	STORD	https://www.linkedin.com/company/stord/	https://www.linkedin.com/company/stord/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
stuut	Stuut	https://www.linkedin.com/company/stuut/	https://www.linkedin.com/company/stuut/people/	LinkedIn company page matched to stuut.ai	2026-09-09	verified
the-new-york-times	The New York Times	https://www.linkedin.com/company/the-new-york-times/	https://www.linkedin.com/company/the-new-york-times/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
torc-robotics-inc	TORC Robotics, Inc.	https://www.linkedin.com/company/torc-robotics/	https://www.linkedin.com/company/torc-robotics/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
vanta	Vanta	https://www.linkedin.com/company/vanta-security/	https://www.linkedin.com/company/vanta-security/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
vercel	Vercel	https://www.linkedin.com/company/vercel/	https://www.linkedin.com/company/vercel/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
warp-drive-inc	Warp Drive, Inc. (FalconX)	https://www.linkedin.com/company/falconx/	https://www.linkedin.com/company/falconx/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
webflow-inc	Webflow, Inc.	https://www.linkedin.com/company/webflow-inc-/	https://www.linkedin.com/company/webflow-inc-/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
wellsky-corporation	WellSky Corporation	https://www.linkedin.com/company/wellsky/	https://www.linkedin.com/company/wellsky/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
wpp-media	WPP Media	https://www.linkedin.com/company/wpp-media/	https://www.linkedin.com/company/wpp-media/people/	Existing Master LinkedIn People hyperlink	2026-09-10	verified
new-era-technology	New Era Technology	https://www.linkedin.com/company/new-era-technology-us/	https://www.linkedin.com/company/new-era-technology-us/people/	Official LinkedIn page matched to neweratech.com	2026-09-10	verified
legora	Legora	https://www.linkedin.com/company/wearelegora/	https://www.linkedin.com/company/wearelegora/people/	Official LinkedIn page matched to legora.com	2026-09-10	verified
pinebridge-investments	PineBridge Investments	https://www.linkedin.com/company/pinebridge-investments/	https://www.linkedin.com/company/pinebridge-investments/people/	Official LinkedIn page matched to PineBridge brand	2026-09-10	verified
nexxen-inc	Nexxen Inc.	https://www.linkedin.com/company/nexxen-inc/	https://www.linkedin.com/company/nexxen-inc/people/	Official LinkedIn page matched to nexxen.com	2026-09-10	verified
broadridge	Broadridge	https://www.linkedin.com/company/broadridge-financial-solutions/	https://www.linkedin.com/company/broadridge-financial-solutions/people/	Official LinkedIn page matched to broadridge.com	2026-09-10	verified
thesis	Thesis	https://www.linkedin.com/company/takethesis/	https://www.linkedin.com/company/takethesis/people/	Official LinkedIn page matched to takethesis.com	2026-09-10	verified
the-carlyle-group	The Carlyle Group	https://www.linkedin.com/company/the-carlyle-group/	https://www.linkedin.com/company/the-carlyle-group/people/	Official LinkedIn page matched to carlyle.com	2026-09-10	verified
strategic-education-inc	Strategic Education	https://www.linkedin.com/company/strategiceducation/	https://www.linkedin.com/company/strategiceducation/people/	Official LinkedIn page matched to strategiceducation.com	2026-09-10	verified
zuora	Zuora	https://www.linkedin.com/company/zuora/	https://www.linkedin.com/company/zuora/people/	Official LinkedIn page matched to zuora.com	2026-09-10	verified
workwave	WorkWave	https://www.linkedin.com/company/workwave/	https://www.linkedin.com/company/workwave/people/	Official LinkedIn page matched to workwave.com	2026-09-10	verified
peloton-interactive	Peloton	https://www.linkedin.com/company/peloton-interactive-/	https://www.linkedin.com/company/peloton-interactive-/people/	Official LinkedIn page matched to onepeloton.com	2026-09-10	verified
angi	Angi	https://www.linkedin.com/company/angi/	https://www.linkedin.com/company/angi/people/	Official LinkedIn page matched to angi.com	2026-09-12	verified
beyer-blinder-belle	Beyer Blinder Belle	https://www.linkedin.com/company/beyer-blinder-belle/	https://www.linkedin.com/company/beyer-blinder-belle/people/	Official LinkedIn page matched to bbbarch.com	2026-09-12	verified
cable-one	Cable One / Sparklight	https://www.linkedin.com/company/mysparklight/	https://www.linkedin.com/company/mysparklight/people/	Official LinkedIn operating-brand page states Sparklight is a DBA of Cable ONE, Inc.	2026-09-12	verified
clutch	Clutch	https://www.linkedin.com/company/withclutch/	https://www.linkedin.com/company/withclutch/people/	Official LinkedIn page matched to withclutch.com	2026-09-12	verified
core-bts	Core BTS	https://www.linkedin.com/company/core-bts/	https://www.linkedin.com/company/core-bts/people/	Official LinkedIn page matched to corebts.com	2026-09-12	verified
deepgram	Deepgram	https://www.linkedin.com/company/deepgram/	https://www.linkedin.com/company/deepgram/people/	Official LinkedIn page matched to deepgram.com	2026-09-12	verified
fullsteam	Fullsteam	https://www.linkedin.com/company/fullsteam-llc/	https://www.linkedin.com/company/fullsteam-llc/people/	Official LinkedIn page matched to fullsteam.com	2026-09-12	verified
kafene	Kafene	https://www.linkedin.com/company/kafene/	https://www.linkedin.com/company/kafene/people/	Official LinkedIn page matched to kafene.com	2026-09-12	verified
live-nation	Live Nation	https://www.linkedin.com/company/live-nation/	https://www.linkedin.com/company/live-nation/people/	Official LinkedIn page matched to livenation.com	2026-09-12	verified
komodo-health	Komodo Health	https://www.linkedin.com/company/komodo-health/	https://www.linkedin.com/company/komodo-health/people/	Official LinkedIn page matched to komodohealth.com	2026-09-12	verified
rbc-capital-markets	RBC Capital Markets	https://www.linkedin.com/company/rbc-capital-markets/	https://www.linkedin.com/company/rbc-capital-markets/people/	Official LinkedIn page matched to rbccm.com	2026-09-12	verified
cvs-health	CVS Health	https://www.linkedin.com/company/cvshealth/	https://www.linkedin.com/company/cvshealth/people/	Official LinkedIn page matched to cvshealth.com	2026-09-12	verified
sprout-social	Sprout Social	https://www.linkedin.com/company/sprout-social-inc-/	https://www.linkedin.com/company/sprout-social-inc-/people/	Official LinkedIn page matched to sproutsocial.com	2026-09-12	verified
navan	Navan	https://www.linkedin.com/company/navan/	https://www.linkedin.com/company/navan/people/	Official LinkedIn page matched to navan.com	2026-09-12	verified
patientpoint	PatientPoint	https://www.linkedin.com/company/patientpoint/	https://www.linkedin.com/company/patientpoint/people/	Official LinkedIn page matched to patientpoint.com	2026-09-12	verified
gen-digital	Gen Digital	https://www.linkedin.com/company/gendigitalinc/	https://www.linkedin.com/company/gendigitalinc/people/	Official LinkedIn page matched to gendigital.com	2026-09-12	verified
spotify	Spotify	https://www.linkedin.com/company/spotify/	https://www.linkedin.com/company/spotify/people/	Official LinkedIn page matched to spotify.com	2026-09-12	verified
stripe	Stripe	https://www.linkedin.com/company/stripe/	https://www.linkedin.com/company/stripe/people/	Official LinkedIn page matched to stripe.com	2026-09-12	verified
zt-systems	ZT Systems	https://www.linkedin.com/company/zt-systems/	https://www.linkedin.com/company/zt-systems/people/	Official LinkedIn page matched to ztsystems.com	2026-09-12	verified
capital-one	Capital One	https://www.linkedin.com/company/capital-one/	https://www.linkedin.com/company/capital-one/people/	Official LinkedIn page matched to capitalone.com	2026-09-12	verified
roku	Roku	https://www.linkedin.com/company/roku/	https://www.linkedin.com/company/roku/people/	Official LinkedIn page matched to roku.com	2026-09-12	verified
match-group	Match Group	https://www.linkedin.com/company/matchgroup/	https://www.linkedin.com/company/matchgroup/people/	Official LinkedIn page matched to mtch.com	2026-09-12	verified
jpmorganchase	JPMorganChase	https://www.linkedin.com/company/jpmorganchase/	https://www.linkedin.com/company/jpmorganchase/people/	Official LinkedIn page matched to jpmorganchase.com	2026-09-12	verified
versant-media	Versant Media	https://www.linkedin.com/company/versant-media/	https://www.linkedin.com/company/versant-media/people/	Official LinkedIn page matched to versantmedia.com	2026-09-12	verified
madhive	Madhive	https://www.linkedin.com/company/madhive/	https://www.linkedin.com/company/madhive/people/	Official LinkedIn page matched to madhive.com	2026-09-12	verified
aperia	Aperia	https://www.linkedin.com/company/aperia-solutions-inc./	https://www.linkedin.com/company/aperia-solutions-inc./people/	Official LinkedIn page matched to aperia.com	2026-09-12	verified
applied-information-sciences	Applied Information Sciences	https://www.linkedin.com/company/appliedis/	https://www.linkedin.com/company/appliedis/people/	Official LinkedIn page matched to ais.com	2026-09-12	verified
eisneramper	EisnerAmper	https://www.linkedin.com/company/eisneramper/	https://www.linkedin.com/company/eisneramper/people/	Official LinkedIn page matched to eisneramper.com	2026-09-12	verified
fis	FIS	https://www.linkedin.com/company/fis/	https://www.linkedin.com/company/fis/people/	Official LinkedIn page matched to fisglobal.com	2026-09-12	verified
fetch-pet-insurance	Fetch Pet Insurance	https://www.linkedin.com/company/fetch-pet-insurance/	https://www.linkedin.com/company/fetch-pet-insurance/people/	Official LinkedIn page matched to fetchpet.com	2026-09-12	verified
tessera-labs	Tessera Labs	https://www.linkedin.com/company/tesseralabsai/	https://www.linkedin.com/company/tesseralabsai/people/	Official LinkedIn page matched to tesseralabs.ai	2026-09-12	verified
vestwell	Vestwell	https://www.linkedin.com/company/vestwell/	https://www.linkedin.com/company/vestwell/people/	Official LinkedIn page matched to vestwell.com	2026-09-12	verified
nextdoor	Nextdoor	https://www.linkedin.com/company/nextdoor-com/	https://www.linkedin.com/company/nextdoor-com/people/	Official LinkedIn page matched to nextdoor.com	2026-09-12	verified
genedx	GeneDx	https://www.linkedin.com/company/genedx/	https://www.linkedin.com/company/genedx/people/	Official LinkedIn page matched to genedx.com	2026-09-12	verified
morgan-stanley	Morgan Stanley	https://www.linkedin.com/company/morgan-stanley/	https://www.linkedin.com/company/morgan-stanley/people/	Official LinkedIn page matched to morganstanley.com	2026-09-12	verified
nbcuniversal	NBCUniversal	https://www.linkedin.com/company/nbcuniversal-inc-/	https://www.linkedin.com/company/nbcuniversal-inc-/people/	Official LinkedIn page matched to nbcuniversal.com	2026-09-12	verified
tilt	Tilt	https://www.linkedin.com/company/tilthq/	https://www.linkedin.com/company/tilthq/people/	Official LinkedIn page matched to thetilt.com	2026-09-12	verified
pwc	PwC	https://www.linkedin.com/company/pwc/	https://www.linkedin.com/company/pwc/people/	Official LinkedIn page matched to pwc.com	2026-09-12	verified
turnitin	Turnitin	https://www.linkedin.com/company/turnitin/	https://www.linkedin.com/company/turnitin/people/	Official LinkedIn page matched to turnitin.com	2026-09-12	verified
flex	Flex	https://www.linkedin.com/company/getflex/	https://www.linkedin.com/company/getflex/people/	Official LinkedIn page matched to getflex.com	2026-09-12	verified
mca-connect	MCA Connect	https://www.linkedin.com/company/mcaconnect/	https://www.linkedin.com/company/mcaconnect/people/	Official LinkedIn page matched to mcaconnect.com	2026-09-12	verified
